seminar_id,region,Seminars
484bc5edf61266483eaa2382a5223a21,South,1
484bc5edf61266483eaa2382a5223a21,West,1
486ca1d29b22faf930a272cf9070908a,Northeast,1
486ca1d29b22faf930a272cf9070908a,South,1
486ca1d29b22faf930a272cf9070908a,NA,2
486de8ecd93b210675be028ef084f75e,Northeast,1
486de8ecd93b210675be028ef084f75e,West,2
489a833aff49c9f0ffba50f25c91c104,Northeast,1
493a28898d5be5bbd0bf29ae27954d1a,West,1
493a28898d5be5bbd0bf29ae27954d1a,NA,2
495596bd9e07194e426ad57e3a3f312f,Midwest,1
498874ecd196cffb60d38f6641404dba,Northeast,1
498874ecd196cffb60d38f6641404dba,South,2
499f42433a5235f5cf3c20375508e4c5,South,1
4a62dc286ba352edf322fa652ed78728,Northeast,1
4a7c48d90f5a2fe8d788d6acdbdb50bc,South,1
4a7c48d90f5a2fe8d788d6acdbdb50bc,West,1
4ab78f74f9f58c3d6ac65fbeeda4f2ce,Midwest,1
4ac50860b4458b6564bb055317e814d2,West,1
4b04780946b420b5f66ef7b905455ddc,South,1
4b04780946b420b5f66ef7b905455ddc,West,1
4b310069ba89fda16dbe50d2af2dab32,West,1
4c185583b448293424354d51c20e7ea2,South,1
4c8018a73acbc57ab0f111335e9119d2,West,1
4cba5741702f0211671f129544162de7,Northeast,2
4cba5741702f0211671f129544162de7,South,2
4cba5741702f0211671f129544162de7,West,2
4ccd74e92923db3616f57363b85b9676,Northeast,1
4d2fd5821287ab53b39683ec134e1af5,Northeast,1
4db70f55c139415f432aeeab048dbd0d,South,1
4db70f55c139415f432aeeab048dbd0d,West,1
4e13f992e789126c2a01138b868d7f86,Northeast,1
4e13f992e789126c2a01138b868d7f86,South,1
4e13f992e789126c2a01138b868d7f86,West,1
4e4cf580e04bd3ab4a0ba03e6bb20871,Northeast,1
4e670448ab4b796cf86b24c74398c65a,Midwest,1
4e7341d4edf61902d6c28a39a929d769,Northeast,2
4eb18a940a1624d097bba43ee199a3bb,West,2
4eb5075c43ef3581b032dc876d2e8758,Northeast,2
4eb555bb9b5d267f7e5b65f04be51dd7,Northeast,2
4ec51befd101b5a27f19c19c9208cb20,South,1
4fb31646ad75dba849ed7df7e39046a5,West,1
4fb5ed774214adcba2320db066b5b062,South,1
503fe048f565ccc610c2902e2de9cfb9,Northeast,4
503fe048f565ccc610c2902e2de9cfb9,South,3
503fe048f565ccc610c2902e2de9cfb9,West,1
507217db113159295065fa261a3c2e54,West,2
5077f15a420166186dd7c9bf04af9989,South,1
508ec5a0d8f611111f5334ebdb485bcc,Northeast,1
51dcb6cb5dff668b75fb8c6add42e9c5,West,1
5209e5ea9af7cba5ecc80436eaa6554d,Northeast,1
5209e5ea9af7cba5ecc80436eaa6554d,West,1
5209e5ea9af7cba5ecc80436eaa6554d,NA,1
523ac7d284c62084e4a932ac0fb52102,Northeast,1
525c790c5c007580b698798e65956a48,Northeast,3
